City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,atar,20.52,-13.05,86.13,23,100,7.18,MR,1585690227
232,srednekolymsk,67.45,153.68,1.06,88,45,2.13,RU,1585690228
233,cayenne,4.93,-52.33,80.6,83,90,12.75,GF,1585690083
234,floro,61.6,5.03,42.8,93,75,5.82,NO,1585690228
235,ler,8.3,30.14,83.71,14,17,3.53,SS,1585690228
236,mounana,-1.41,13.16,73.65,79,42,1.72,GA,1585690229
237,nhulunbuy,-12.23,136.77,77.0,94,97,8.95,AU,1585690229
238,formosa,-26.18,-58.18,82.4,74,90,9.17,AR,1585690229
239,tautira,-17.73,-149.15,86.0,70,2,6.93,PF,1585690229
240,portland,45.52,-122.68,53.01,70,90,4.7,US,1585690068
241,salaga,8.55,-0.52,93.0,40,28,5.46,GH,1585689945
242,perisani,45.38,24.4,30.2,92,90,2.24,RO,1585690230
243,maningrida,-12.07,134.27,76.41,90,77,6.87,AU,1585690230
244,marfino,55.7,37.38,24.8,49,63,6.71,RU,1585690231
245,kavieng,-2.57,150.8,82.96,75,99,7.45,PG,1585689934
246,rocha,-34.48,-54.33,67.82,73,94,12.24,UY,1585690028
247,tocopilla,-22.09,-70.2,81.97,36,23,11.74,CL,1585690231
248,kaitangata,-46.28,169.85,51.01,92,2,4.0,NZ,1585690054
249,nome,64.5,-165.41,23.0,92,90,8.05,US,1585689985
250,kon tum,14.35,108.0,69.94,68,7,2.75,VN,1585690233
251,fosforitnyy,55.33,38.9,24.8,62,80,6.71,RU,1585690233
252,la peca,-5.61,-78.44,80.11,50,47,4.56,PE,1585690234
253,leningradskiy,69.38,178.42,7.57,91,13,5.39,RU,1585690233
254,southbridge,42.08,-72.03,48.99,48,20,4.7,US,1585690234
255,sao jose da tapera,-9.56,-37.38,79.41,68,18,10.65,BR,1585690234
256,bubaque,11.28,-15.83,79.61,71,31,13.71,GW,1585690234
257,ayan,56.45,138.17,19.76,86,64,4.03,RU,1585690235
